theta,alpha,alpha0,rho1,rho2,gamma,user
6.366141312536145,-131.3098633186185,104.41462255144589,-12.282182037413225,6.0040270366381705,-8.034148378770142,user_3
5.982934897971054,-120.33540530229043,97.98253691199213,-12.222274381575666,5.998283888227749,-7.036872066476084,user_3
6.17321387426748,-116.45543380024642,97.80854410512667,-12.362004489172637,6.003099179413863,-6.8912237256621465,user_3
6.043598914843691,-118.63379175461175,95.56038690916834,-12.325589320696375,6.003653363087456,-7.6264593677317425,user_3
6.051935150824728,-117.09936442084914,99.64709635486349,-12.344190383614203,6.002318870355208,-7.003489668222682,user_3
6.263699656334066,-129.2644653032605,107.32853905083489,-12.259927138181512,6.004434219917746,-7.648601313089098,user_3
6.1168987200455485,-119.32637526008168,101.99626076595375,-12.295548267391181,6.001920919371894,-7.017932934140697,user_3
6.1137066403368445,-122.95063491879036,99.43138684757656,-12.314033456591332,6.00321751691618,-7.541805690009809,user_3
6.286880047218333,-124.4984455002593,99.29477501869944,-12.329815518507829,6.003184048642968,-7.864928545223414,user_3
6.510014506116412,-123.0067162340525,100.78033935714862,-12.351140800842511,6.003430751178338,-8.170743344027533,user_3
5.281631406558858,-105.68405118492075,89.4343402470534,-12.364997665888264,6.017536178047286,-6.178418364231264,user_3
6.105557688174879,-128.142697124672,108.48390530251957,-12.27150487602701,6.004154521514143,-8.040558083589017,user_3
6.006224851626973,-111.12026617750651,97.22620325915975,-12.274564649987209,6.002668744587223,-6.5138434042089575,user_3
5.019253464623998,-119.89263900854598,101.74954400868872,-12.256972822899604,6.001870206407121,-6.515785197487803,user_3
5.796029009404552,-127.22718674235314,107.87393562691332,-12.280210079664547,6.005473851133054,-7.305952453738765,user_3
6.07589154232927,-129.000436392208,105.12695001502127,-12.299521041286804,6.004102215510335,-7.590991645560393,user_3
6.487750587752791,-121.34840907003841,101.26877842901648,-12.375604311033424,6.002685848455776,-7.403520189283008,user_3
6.646517264933184,-123.58769353410844,103.71652393506754,-12.330088763626726,6.003841261619676,-7.640482151722166,user_3
6.3721222016440136,-130.1987527920759,111.19258997302782,-12.262957032223946,6.0047728586951905,-7.880404775997297,user_3
6.079680543658604,-122.83331209347492,100.8663973786032,-12.31864589997192,5.998244804741425,-7.268613375357912,user_3
5.735401355618348,-127.62291398045717,105.08607467839393,-12.36776806121594,6.005444152451993,-7.608865039441283,user_3
5.110657548939898,-107.83439999544053,92.39016879169321,-12.32545358539312,6.016659560410036,-6.346352927651342,user_3
